subj_code	condition	desktop_conf	attent_conf	instr_tests	Cond_sum	Rating_CC	Rating_SE	explanation	age	gender	tech_issues
8Zcvxqymd9Ga	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	3	3	I imagined it like the sun emitting it's light (cause) and planets receiving that light (effect).  If the sun emits it's light in all directions, the amount of light received by a planet at a specific distance is going to be unaffected by the fact that there may be other planets at different positions also receiving the light.  So I stated that the effect was the same in both situations.	45	1: male	NA
SsVbEKYgmXnT	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	10	10	Because the amount of energy cause C has, which is infinite, there is no reason to believe that each Effect entity gets a finite amount of 1/4 of the energy. That amount could easily be the same as is channeled into entity E. They both could be very high, or they could be different. 	69	2: female	I did not notice any errors. This was really interesting!
bpHUu8lf05x0	5	1: I confirm	1: I will take it seriously	1	binary_radial	0	10	Seemed to me if it was on only one would be showing	39	1: male	NA
bxY8NDh1Q7QX	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	2	3	The situation on the right was a bit higher since there was only one E, but both were on the lower side because of distance from C.	52	1: male	None
OnaAVodEVrfW	4	1: I confirm	1: I will take it seriously	2	cont_channel_limited	5	10	Assumption of equal energy distribution (entirety of cause entity's payload being distributed evenly amongst all active effect entities) made due to lack of information facilitating more specific judgments - no explicit indication of any 'limiter' regulating energy flow (e.g. each effect entity always receiving a certain amount of energy regardless of current configuration) or visual representation of varying activity levels.	27	1: male	n/a
QmFo1elj8qgD	1	1: I confirm	1: I will take it seriously	2	cont_radial_unlimited	3	8	Entity C gives out continuous amount of energy but is hitting three more E in the first scenario	42	2: female	NA
sXduTNudCvDs	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	7	10	if c is sending energy to one entity only the energy would be higher than if it was split.	33	1: male	NA
tTNk40Ng6GFG	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	7	10	Because energy is only being sent to one casual entity then I would expect it to receive a greater amount of energy. However, I was in two minds about this as I wondered whether the fact that C had unlimited energy would mean that it would make no difference. I went with my gut instinct.	60	1: male	No errors etc. Thanks
Cbs9WnhZyhpj	5	1: I confirm	1: I will take it seriously	1	binary_radial	6	6	I gave them both the same probability as the fact that the number of entities present should not effect whether they are on or off	42	2: female	none
0lMBWH7yB9Gp	2	1: I confirm	1: I will take it seriously	3	cont_radial_limited	8	8	I am still unsure I am understanding of this but it seems to me that whether there are four or one,each will, although varying in activity, only be able to use so much energy at one time.	62	2: female	NA
klhf1LCh6Ila	5	1: I confirm	1: I will take it seriously	1	binary_radial	10	10	"If the cause is on, then my understanding is that the state of the entities are not relative to one another - just to the cause.

Therefore, even if other entities are present, if the cause is 'on' the entity will be on."	31	1: male	NA
qnPpRbrrVnZi	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	10	10	Because C sends out unlimited amounts of energy and so the distribution should be high and even whatever the number of effect entities.	60	1: male	none
hMQxQos9YHOT	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	5	5	Since the energy radiating from C is infinite, it makes infinitesimal difference if some energy were to be absorbed by 4 versus 1 unit of E.	24	2: female	N/A, all went well.
CoyVYqI5bghr	5	1: I confirm	1: I will take it seriously	1	binary_radial	10	10	my interpretation of the diagram was that the radial energy from effector C was causing all effected elements E to be ON in diagram A, and in diagram B the absent elements E were in the OFF state	41	1: male	NA
lOY7joGzMdsH	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	10	10	C has infinite energy and projects this energy out. Whether there are 1 or 4 effect entities, the strength of the energy projected would be the same. If there are 4 EE, each would receive as much energy as if there was one! 	48	2: female	N/A
I6gaSkisbqB6	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	2	10	In situation A there were four entities so I guess that approximately 25% of energy was going to each one. In situation B only one entity so activity would be high.	60	2: female	none
BNCYC2e35RZG	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	2	10	It seemed reasonable that A  would divide its energies between the 4 effect entities.  But in diagram B  there is only one effect entitie that is getting the energy.  So I felt that in diagram B it would have a higher rating 	51	2: female	I did not see any 
jX9asIz6qX38	2	1: I confirm	1: I will take it seriously	2	cont_radial_limited	1	2	Either way, the effect entities were on the outer edge of the circle, so I felt the effect on them would be low, as they were far away from the cause entity. But if there was only one effect entity (as opposed to four) I felt the effect would be a bit higher, as all of the cause entity's power was being transferred to that one effect.	35	2: female	N/A
8vzqNwsxPyOd	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	4	7	Because the one on the right only has one channel going into it. I intuitively thought that circle then had more energy going into it.	21	1: male	None, thank you. Everything went fine!
89FFFzwJdw2r	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	3	10	Assume that all energy flows through the channels, so if only one channel, the entity receives more energy than if the other three entities also receive a share.  Absent any other info, assumed this was the maximum.  	37	2: female	None
4F5f38S3nkM2	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	4	5	In the situation where all four effect entities were present, the energy sent out by the cause C would hit them equally due to the radial influence. In situation B, the energy is still being sent out in all directions and so the single effect entity would receive the same amount of energy.	37	2: female	NA
HqYgrFKOAzIL	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	5	10	I PRESUMED THAT THE FIRST ONE c EMITTED THE SAME FORCE TO ALL THE 4 CORNERS BUT IN THE SECOND ONE ONLY BOTTOM RIGHT WAS HIGHLIGHTED INDICATED TO ME MORE FORCE WAS USED BY C	56	2: female	NO ALL GOOD
6qy48zP0ngZk	5	1: I confirm	1: I will take it seriously	2	binary_radial	8	8	the bottom right entity was being effected in both examples, so in my opinion I think C has a strong influence over this one.	25	1: male	I didn't come across any errors
L47CnWNYUny6	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	5	5	there's no way for me to know for certain given that the energy the causal entity is emitting is infinite. I selected the middle as I felt like I didn't have enough knowledge to accurately predict what it could be in either situation. I didn't feel/intuit that it would necessarily be highly effected or effected in a limited way.	44	1: male	None.
xIdqj8ojYsTQ	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	5	5	"My understanding is that the Causal C sends out a specific amount of energy through each channel regardless of how many channels are open at one time. So the amount of energy for a specific entity is the same regardless of how many other entities there are.
"	25	1: male	NA
fRcHSQcpbZqw	3	1: I confirm	1: I will take it seriously	2	cont_channel_unlimited	7	7	I just felt the same energy would be given even though only one channel. C would just emit slightly less overall when just one channel and emit more when four. By the time more energy is split between four I felt it would more or less equal the one.	43	2: female	NA
cB4RBjlTkqE7	1	1: I confirm	1: I will take it seriously	2	cont_radial_unlimited	7	10	i marked them both differently, but now I should have marked them both the same. If C has infinite energy, then it doesnt mater how many e partciles there are, the same ones will exert the same effect entity	31	1: male	"no errors
"
FytJ89nMJRJS	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	6	7	I chose this because I felt that there was more contribution from the cause C to the other effect entities E in the case where there were 4. So the Cause C would give more of its specific energy amount to the other entities, so there would be less for the bottom right entity, compared to the case where there was only 1.	51	1: male	No issues!
Ij0OFKzOOJHh	1	1: I confirm	1: I will take it seriously	3	cont_radial_unlimited	6	2	NA	30	1: male	NA
EVQVvApJe9Xy	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	8	10	This may be a little overly simplistic however in scenario B, there was only one, where is in scenario and they were for and so it feels like the more the most energy would be coming from B	34	2: female	NA
Y16XhSaM9YLX	5	1: I confirm	1: I will take it seriously	2	binary_radial	6	5	When C is on and there are all four present, less energy will be distributed to each entity as opposed to when there is only one the bottom right entity present which will gain all of Cs energy as it doesnt have to be distributed	22	2: female	NA
sm4sPbTM7v8W	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	3	10	In the first case, the Cause, having finite amount of of energy to give, divides its energy between four Effects, but in the second case the only one Effect gets the foull amount of energy that can be given by the Cause.	35	1: male	NA
J5LNzMYQ2FEi	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	1	1	As the energy is emitted radially, it doesn't matter how many entities are present, only how close the entities in each scenario will change the activity.	45	1: male	None
j8zsd02eXZg8	5	1: I confirm	1: I will take it seriously	1	binary_radial	3	9	I gave a stronger rating for the right hand situation because there was only one effect entity present and therefore it is likely that this was under a stronger influence that it may have been in the left hand situation.	27	1: male	No errors noticed
ZYSJ9ekyDFBJ	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	0	0	In both cases the bottom right entity was placed at the very edge of the radial field of influence, as its position was not changed, and the energy output of c was the same, the entity would receive the same amount of energy (the lowest possible).	28	1: male	Nothing to report
ZP0edaY0bUan	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	10	10	I understood that C gives has an unlimited amount of energy, and so if C has a causal effect on any and all Es, I presumed they would all be very high.	42	1: male	No errors, thanks.
EflqoVRqgK06	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	3	10	"i assume that:

- when there are four channels, each will receive about ~25% of the total energy, as the energy is evenly split between the four.

- when there is a single channel only, it receives 100% of the total energy."	34	1: male	n/a
LUPqhwzhcWmy	3	1: I confirm	1: I will take it seriously	2	cont_channel_unlimited	6	6	It will be intensified when the number of disemissions is reduced. 	40	1: male	No error
EOUmvUBwfohi	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	6	6	I think that the strength in both scenarios could have been higher if the entity had been closer to the cause. I think that because the entity in question in each scenario was the same distance away from C, then the strength of the influence is the same in both scenarios. Additionally, since C gives out energy radially, each entity only gets the influence that touches it in its' position, therefore additional entities do not affect the amount of influence that each entity receives, therefore the entities in each scenario receives the same strength of influence. 	25	2: female	NA
MDewMgsEaKwq	5	1: I confirm	1: I will take it seriously	2	binary_radial	2	10	I believe that the effect in BOTH situations A and B were definitely on because the cause was causing radical influence on the effects. The radical influence of the effects was on.	21	2: female	NA
bj71Rv7OT7yy	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	2	10	I got the impression the energy level of B would be higher as the casual node was only channeling to 1 effect node rather than 4, meaning it would be 4x as strong.	23	1: male	no errors
FlzqQzuTWM5n	3	1: I confirm	1: I will take it seriously	2	cont_channel_unlimited	5	5	the strength of effect on the bottom right entity is the same because the cause has infinite energy, thus adding more entities will not influence the effect on each one	23	1: male	NA
eOrgb24ch2RB	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	2	2	Both are at the same distance so i would expect to have the same force exerted on them	27	1: male	N/A
C1FCNgRyGv7V	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	5	5	The effect is radial and goes in all directions at once. The strength of the effect is the same in all directions regardless of whether or not other effects are present, so having only one effect entity present will not change how much it is being affected by Cause entity C. Since the strength of the cause entity's influence was not stated I cannot predict the strength of its effect of effect entity E in either case A or B. It could be strong, weak of somewhere in between, I selected the middle range as an average.	59	1: male	none
WOEk8Faoi3h0	4	1: I confirm	1: I will take it seriously	3	cont_channel_limited	8	8	All influences appear active and equal	67	2: female	NA
snGDtbjihvdu	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	8	10	If the cause entity has unlimited power then it could potentially be sending high strength to each of the 4 effect entities. Just because only one E is present it doesn't stand to reason that it is naturally taking all the power whilst the 4 E's are sharing and therefore receiving a lower level. The 4 could all draw full power from an unlimited power source	44	1: male	No errors
o3zEKRsCrFUO	5	1: I confirm	1: I will take it seriously	1	binary_radial	10	10	Intuitively, I felt that the Effect entity was ON in both scenarios, as it reacts to the radial influence of the Cause entity, which was also ON.	42	1: male	None noted.
1TaRCtPO76HM	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	3	10	I believe the more effect entities that are present, the lower the strength of the effect on the effect on each specific effect entity. With only one effect entity, the strength of the effect is much higher	39	1: male	NA
kPP4GndMDFqO	3	1: I confirm	1: I will take it seriously	2	cont_channel_unlimited	6	9	I analyzed it based on the channels available. If the C has unlimited amount of energy it can process then with the same unlimited energy it may be greater through one channel than through 4 channels.	35	1: male	no errors were detected
nphsJ9cMbcNf	5	1: I confirm	1: I will take it seriously	1	binary_radial	4	6	Have no idea really. Either could be on or off irrespective of how many effect entities there are..	36	1: male	NA
NZsG5jHxbed3	1	1: I confirm	1: I will take it seriously	4	cont_radial_unlimited	3	2	because there was only 1 E	18	1: male	NA
wtWfdrySDfH8	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	10	10	Regardless of whether or not there are 4 or only 1 effect entities, bottom Right E will still get the same amount of energy from C because C emits the same energy radially, in all directions. So All 4 present will still get the same amount of radial energy regardless of whether or not the others are present. 	51	2: female	NA
hG1Odip8FAuG	5	1: I confirm	1: I will take it seriously	1	binary_radial	8	8	"In a radial situation, the additional entities should have no effect on any given E entity as they cannot interfere with ""communication"" from the C"	46	2: female	NA
vUoPZbsybYz5	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	3	3	I think the strengths would be equal in situation A and B because the right effect entity is still in the same place i.e. the very edge of the radius and I don't think it makes a difference how many entities are present as C has an infinite amount of energy.	27	4: prefer not to say	N/A
5mdyNJjaslXi	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	2	9	if we assume all the energy is given by entity C via the channnels. Then having only 1 reicpient gives the reciepient maximum energy. Having 4 implies that the total energy is split 4 ways. However, these don't need to be equal divisions of energy nor was it stated than when C exerts channel infleunce it channels all energy to the recipient. So I gave almost max and not quite min ratings to situtation b and a respectively. 	25	2: female	NA
23hKac01GNMO	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	3	10	I marked the situation with 4 entities low as I thought to divide the energy from the C influence roughly by 4, so therefore I marked it approximatley a quarter of the dots on the scale. I gave the situation with the 1 entity the highest possible score as I felt that all the energy from C would be transfered and concentrated into the one single place.	58	1: male	I did not spot any errors and thought that it was structured really well. Very easy to understand also.Really enjoyed learning about the topics-very interesting thanks!
Z1MVbc566GL4	5	1: I confirm	1: I will take it seriously	1	binary_radial	10	10	Because the entities can only be on or off, so if the causal entity is on and emitting radially, all entities in the radius should be affected	22	2: female	NA
wHb9wDuK6I0y	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	3	9	I believe that with only one effect entity the strength of energy from C will be more concentrated therefore higher than when there are 4 effect entities and the energy is shared between them all.	47	1: male	NA
cMcBgEmSP2f6	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	1	10	11 divide by 4 is 2 and change. Between needing to exert power verses take power if there are four taking power (maximum vs 1 which is minimum) I think there is less intensity from all of those taking the power so that each one is equal. In my mind 2 vs 3 is the best option for low intensity because so that each one receives or takes an equal amount of power. 	40	3: non-binary	None, thank you for having me.
tUBS8EX2WG0O	4	1: I confirm	1: I will take it seriously	2	cont_channel_limited	3	10	if there are four channels the energy will be split between them if there is one all the energy will be going into one	26	2: female	na
yAjAauM46M2b	4	1: I confirm	1: I will take it seriously	2	cont_channel_limited	3	3	they are both on the same channel	28	1: male	NA
MUnBJcPpAJIx	2	1: I confirm	1: I will take it seriously	2	cont_radial_limited	6	6	Even though there are 4 entities the aspect of E is in the same place for both situations therefore that’s why I gave the same ratings. 	24	2: female	NA
ICouaCS5lPHz	4	1: I confirm	1: I will take it seriously	2	cont_channel_limited	3	7	A specific amount of energy is available so in situation A (All 4 present) I expected there to be lower strength of cause C influencing bottom right effect entity. When only 1 effect entity is present, more energy can be directed and thus higher strength of influence.	30	2: female	NA
Kj4eYYhpB3zD	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	5	5	I figured since C, the cause entity, was described to be providing infinite energy, that the number of E effect entities couldn't change the flux of energy being provided to each one. I do recall it saying that energy could change, but as there was no visual illustration of these entities having different energy levels at this time, I went with the answers of both in the middle, to say, the energy is being evenly distributed / the effect entities are taking on the same amount of energy, no matter how few or how many are within range of the cause entity. 	23	3: non-binary	n/a
o5o7RMPCs5Pu	5	1: I confirm	1: I will take it seriously	1	binary_radial	10	3	I just went with a hunch that because all effect entities were present, that the chances of the bottom right entity being 'on' was more likely.	38	1: male	None
1voKCTxt2iMp	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	8	5	With all four effect entities present it would be likely, but not certain, that more energy is transferred through the channels, whereas with one it could be assumed that less is being transferred. 	23	1: male	NA
X4eFQQuRt1TZ	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	5	5	From what I understand, the effect entities have no influence on one another, so it's only cause C that has an effect. As such, the influence from cause C remains the same on the bottom right entity regardless of how many other entities are present.	31	2: female	NA
oBsLVYU7KfTQ	4	1: I confirm	1: I will take it seriously	3	cont_channel_limited	2	10	All of C's energy was being channeled into the bottom right entity in situation B, however situation A had it channeled into all four and therefore it's specific amount of energy was quartered.	20	1: male	NA
wD47C5OzVloh	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	10	10	as C has unlimited energy it does not matter how many entities there are each will still be able to receive unlimited energy 	24	1: male	NA
hM4ytpFqiqjh	2	1: I confirm	1: I will take it seriously	3	cont_radial_limited	3	3	I thought perhaps the one entity would get more energy at first, in scenario B. But then I thought not, the energy is going out in a radius, so each entity gets the same amount of influence from C regardless of whether or not there are other E entities. 	28	1: male	NA
DcHjBYmAXhEC	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	8	2	A has more energy omitted covering a larger area	23	1: male	None i didnt come across 
vn56mfywasTy	4	1: I confirm	1: I will take it seriously	2	cont_channel_limited	3	10	The visual representation gives the impression that there is a proportional change if only one effect entity is presented	34	1: male	None
me1blJoqJvyj	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	5	7	It would make sense if cause C exerts more influence toward a sole effect entity as opposed to four present entities.	20	2: female	NA
zTrc0lc1jpHu	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	2	2	I think that the strength will reduce with distance. The energy radiating out will not be affected by the no. of entities present.	66	1: male	none
pm41rjaNB3wf	2	1: I confirm	1: I will take it seriously	1	cont_radial_limited	5	10	In situation B, the force distributed affects only one effect entity. In situation A, the force exerted is distributed (unevenly/evenly) among four effect entities.	23	2: female	NA
HlvluwWBam0g	5	1: I confirm	1: I will take it seriously	3	binary_radial	8	2	energy affecting has more entities	22	2: female	no
d1grgDj604uZ	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	2	10	In situation B, all the causal entity's energy is focussed on only one effect entity. In situation A the energy is divided between four effect entities.	54	2: female	NA
RVg4BCkGVoKs	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	4	10	Where a cause has many effects, I would guess that each effect is less intense, even though the cause has infinite energy.  Where a cause has only one effect, I think the effect is more intense.	51	2: female	None
HVsaHBs9jdsV	2	1: I confirm	1: I will take it seriously	3	cont_radial_limited	6	7	with all four entities present, c is sharing its influences through a series of entities whereas in the second diagram, there is only one entity meaning it would have mire influence	19	3: non-binary	NA
b2FjuVDNnb71	5	1: I confirm	1: I will take it seriously	1	binary_radial	10	10	I felt that E must by definition be active if on the diagram with C while C was on.	36	1: male	NA
L6Cs5tFkf6Fd	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	2	10	In situation B the effect entity was the only one present, therefore it would experience a far higher amount of influence because the entirety of C's influence was directed at it, rather than just a proportion.	28	1: male	N/A
5ZmnOaYuN6Qc	4	1: I confirm	1: I will take it seriously	3	cont_channel_limited	5	10	All of the energy was being channeled to one entitiy in the second illustration, this made me think it was more active.	28	3: non-binary	NA
Y5nouLhZEZPF	3	1: I confirm	1: I will take it seriously	2	cont_channel_unlimited	10	10	I believe both would have high levels of activities because C has unlimited energy to give.	30	2: female	NA
vDa1GQQfsrvp	5	1: I confirm	1: I will take it seriously	2	binary_radial	5	5	I used my intuition and could only think it somehow was a 50% chance but it was a wild guess I suppose.	61	2: female	No errors
4J9EP1h8XefD	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	2	10	I chose fairly high on the first scale, as all of the cause C's energy can only go to one effect entity, therefore that E will get all of C's emissions. I chose fairly slow on the second scale for the exact same reason, just in respect to the 3 other E's, meaning all C's emissions will be spread evenly among the 4 E's.	29	2: female	None
6flUByTaH7Pb	5	1: I confirm	1: I will take it seriously	1	binary_radial	6	6	I think that if C is off there is a chance that E must be on	29	2: female	NA
l2tsYvkuOUDk	2	1: I confirm	1: I will take it seriously	2	cont_radial_limited	3	10	when only one entity was present i concluded that it would be able to take maximum energy from the  center. since the center gives out a specific amount of energy radially if several drains on this occur then it goes that each would receive less	49	1: male	none, but I am only 60% sure my answer is correct!
EuWs0hh9aQVz	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	6	6	"I selected a moderate amount in the first situation because I don't have any frame of reference.

I selected the same amount for the second situation because C and E are causally linked but E is not causally linked with the other Es. If C has an infinite amount of energy that it can emit then the amount of energy it sends to E will only be limited by the channel capacity, which is the same in both situations, rather than by the number of Es that C has to supply."	38	1: male	none
vimFSQ7TQyvL	2	1: I confirm	1: I will take it seriously	2	cont_radial_limited	4	8	It would be higher on the second one because it is the only C there 	30	2: female	None 
edaHz4cAewIS	3	1: I confirm	1: I will take it seriously	1	cont_channel_unlimited	0	10	Situation A is sharing strength with the energies whereas in situation B all the strength is being transmitted to just one.	22	2: female	NA
KZX5rBLDIMj3	5	1: I confirm	1: I will take it seriously	1	binary_radial	10	10	If the effect is present, it must have a cause. If the cause is present, it must have caused the effect to have happened, so I believe the effect must be on.	27	2: female	none
Ot5QLhVb8aWH	4	1: I confirm	1: I will take it seriously	1	cont_channel_limited	2	10	C only has a certain amount of influence that it can exert in the first image A that influence has to be divided amongst 4 entities therefore it is less as compare to B where C has to exert influence to one entity.	30	2: female	Non noted.
VwF55cbHJzNP	1	1: I confirm	1: I will take it seriously	1	cont_radial_unlimited	3	9	Bottom left has four entities for the C to influence. Bottom right only has one entity. To be honest I don't know why I put that because it submits an endless amount of energy so it makes no odds if there's one or four	39	2: female	None
