"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"p_ID";"dupl1_v_149";"v_92";"v_149";"v_166";"v_165";"v_135";"v_150";"v_168";"v_167";"v_136";"v_152";"v_170";"v_169";"v_137";"v_153";"v_172";"v_171";"v_138";"v_154";"v_174";"v_173";"v_139";"v_155";"v_176";"v_175";"v_140";"v_156";"v_178";"v_177";"v_141";"v_157";"v_180";"v_179";"v_142";"v_158";"v_182";"v_181";"v_143";"v_159";"v_184";"v_183";"v_144";"v_160";"v_186";"v_185";"v_145";"v_161";"v_188";"v_187";"v_146";"v_162";"v_190";"v_189";"v_147";"v_163";"v_192";"v_191";"v_148";"v_164";"v_194";"v_193";"dupl1_gender";"age";"remarks";"attention_check";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts4959618";"rts4959625";"rts4959704";"rts4988097";"rts4988100";"rts4988105";"rts4988118";"rts4988123";"rts4988126";"rts4988143";"rts4988146";"rts4988149";"rts4988156";"rts4988162";"rts4988171";"rts4988177";"rts4988180";"rts4988194";"rts4988196";"rts4988222";"rts4988226";"rts4988229";"rts4988232";"rts4988234";"rts4988238";"rts4988244";"rts4988257";"rts4988266";"rts4988270";"rts4988272";"rts4988274";"rts4988277";"rts5008117";"rts5008118";"rts5008134";"rts5008135";"rts5008141";"rts5008142";"rts5008147";"rts5008148";"rts5008154";"rts5008155";"rts5008160";"rts5008161";"rts5008178";"rts5008179";"rts5008181";"rts5008182";"rts5008201";"rts5008202";"rts5008207";"rts5008208";"rts5008215";"rts5008216";"rts5008230";"rts5008231";"rts5008238";"rts5008241";"rts5008299";"rts5008300";"rts5008307";"rts5008308"
"89";"0";"0";"31";"4959705";"-77";"280";"16";"5fa0116685177c0158e77913";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"100";"100";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"25";"No problems. I am uncertain as to whether I interpreted this correctly. If a chemical is present in a container for an indefinite period of time (no timeframe given or rate of reaction), then the resultant product, even if it doesn't always immediately appear, is bound to appear, so it would always have a 100% chance of appearing eventually?";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36";"-99";"0";"0";"-66";"0";"4959618,4988082,5008116,4988096,5008133,4988099,5008140,4988104,5008146,4988117,5008153,4988122,5008159,4988125,5008177,4988142,5008180,5008182,5008181,4988145,5008200,4988148,5008206,4988155,5008214,4988161,5008229,4988170,5008237,4988176,5008298,4988179,5008306,4959704,4959705";"1";"1";"0";"-77";"-77";"baddc6fcc229973789f282ca7e0a1fd3";"1";"0";"1614775609";"2021-03-03 12:46:49";"2021-03-03 12:51:29";"0000-00-00 00:00:00";"63";"0";"280";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"194";"178";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"90";"0";"0";"31";"4959705";"-77";"110";"18";"5e960ce1abdb06081f92cfdf";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"80";"50";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"22";"-99";"3";"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36";"-99";"0";"0";"-66";"0";"4959618,4959618,4959618,4988082,5008116,4988096,5008133,4988099,5008140,4988104,5008146,4988117,5008153,4988122,5008159,4988125,5008177,4988142,5008180,4988145,5008200,5008202,5008201,4988148,5008206,4988155,5008214,4988161,5008229,4988170,5008237,4988176,5008298,4988179,5008306,4959704,4959705";"0";"0";"0";"-77";"-77";"ceeaf26d4a216e62ead600da5dff715f";"1";"0";"1614775615";"2021-03-03 12:46:55";"2021-03-03 12:48:45";"0000-00-00 00:00:00";"25";"0";"110";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"82";"69";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"91";"0";"0";"31";"4959705";"-77";"209";"21";"598395ea554956000142d944";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"98";"50";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"26";"No";"3";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15";"-99";"0";"0";"-66";"0";"4959618,4988082,5008116,4988096,5008133,4988099,5008140,4988104,5008146,4988117,5008153,4988122,5008159,4988125,5008177,4988142,5008180,4988145,5008200,4988148,5008206,4988155,4988156,4988266,5008214,4988161,5008229,4988170,5008237,4988176,5008298,4988179,5008306,4959704,4959705";"0";"1";"0";"-77";"-77";"b7241f4719bb15504fc47f9fc9eddbb7";"1";"0";"1614775624";"2021-03-03 12:47:04";"2021-03-03 12:50:33";"0000-00-00 00:00:00";"80";"0";"209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"160";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"190";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"92";"0";"0";"31";"4959705";"-77";"599";"29";"5f7627b46c029a08e8ca87a1";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"10";"10";"-77";"-77";"2";"23";"N/A";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0";"-99";"0";"0";"-66";"0";"4959618,4988082,5008116,4988096,5008133,4988099,5008140,4988104,5008146,4988117,5008153,4988122,5008159,4988125,5008177,4988142,5008180,4988145,5008200,4988148,5008206,4988155,5008214,4988161,5008229,4988170,5008237,4988176,5008298,4988179,4988180,4988277,5008306,4959704,4959705";"0";"1";"0";"-77";"-77";"f9680dfd4bd468b4278d21b905479a3e";"1";"0";"1614775626";"2021-03-03 12:47:06";"2021-03-03 12:57:05";"0000-00-00 00:00:00";"24";"0";"599";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"545";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"565";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"93";"0";"0";"31";"4959705";"-77";"92";"22";"5a78dbd50f1bce000121af49";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"20";"61";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"37";"No";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36";"-99";"0";"0";"-66";"0";"4959618,4988082,5008116,4988096,5008133,4988099,5008140,4988104,5008146,4988117,5008153,4988122,5008159,4988125,5008177,4988142,5008180,4988145,5008200,4988148,5008206,4988155,5008214,5008216,5008215,4988161,5008229,4988170,5008237,4988176,5008298,4988179,5008306,4959704,4959705";"0";"1";"0";"-77";"-77";"6ac60db23ff6cb48da0e13ee2248f3d3";"1";"0";"1614775631";"2021-03-03 12:47:11";"2021-03-03 12:48:43";"0000-00-00 00:00:00";"10";"0";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"76";"54";"0";"0";"0";"0";"0";"0";"0";"0"
"94";"0";"0";"31";"4959705";"-77";"103";"3";"5f2076d32653933665ad4b62";"1";"-77";"-77";"-77";"-77";"50";"6";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"24";"-99";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36";"-99";"0";"0";"-66";"0";"4959618,4988082,5008116,4988096,4988097,4988196,5008133,4988099,5008140,4988104,5008146,4988117,5008153,4988122,5008159,4988125,5008177,4988142,5008180,4988145,5008200,4988148,5008206,4988155,5008214,4988161,5008229,4988170,5008237,4988176,5008298,4988179,5008306,4959704,4959705";"0";"0";"0";"-77";"-77";"e16cfec97d9e3d91581ea14e37ab83e4";"1";"0";"1614775634";"2021-03-03 12:47:14";"2021-03-03 12:48:57";"0000-00-00 00:00:00";"13";"0";"103";"63";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"88";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"95";"0";"0";"31";"4959705";"-77";"253";"9";"5ed90e1ff2a1840a177877d3";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"33";"33";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"27";"-99";"3";"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36";"-99";"0";"0";"-66";"0";"4959618,4988082,5008116,4988096,5008133,4988099,5008140,4988104,5008146,4988117,4988118,4988229,5008153,4988122,5008159,4988125,5008177,4988142,5008180,4988145,5008200,4988148,5008206,4988155,5008214,4988161,5008229,4988170,5008237,4988176,5008298,4988179,5008306,4959704,4959705";"1";"0";"0";"-77";"-77";"4ee61aa385a777f8126bf759772523dd";"1";"0";"1614775636";"2021-03-03 12:47:16";"2021-03-03 12:51:29";"0000-00-00 00:00:00";"43";"0";"253";"0";"0";"0";"206";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"230";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"96";"0";"0";"31";"4959705";"-77";"86";"17";"5983b86106cd1f0001f8e283";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"50";"32";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"41";"-99";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36";"-99";"0";"0";"-66";"0";"4959618,4988082,5008116,4988096,5008133,4988099,5008140,4988104,5008146,4988117,5008153,4988122,5008159,4988125,5008177,4988142,5008180,4988145,4988146,4988244,5008200,4988148,5008206,4988155,5008214,4988161,5008229,4988170,5008237,4988176,5008298,4988179,5008306,4959704,4959705";"0";"0";"0";"-77";"-77";"46b5a93d01e257b1e3411ccc8e28a6a2";"1";"0";"1614775637";"2021-03-03 12:47:17";"2021-03-03 12:48:43";"0000-00-00 00:00:00";"19";"0";"86";"0";"0";"0";"0";"0";"0";"0";"53";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"70";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"97";"0";"0";"31";"4959705";"-77";"187";"7";"IN ER 3709";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"69";"63";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"69";"-99";"3";"Mozilla/5.0 (Linux; Android 4.4.4; SM-T560) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36";"-99";"0";"0";"-66";"0";"4959618,4988082,5008116,4988096,5008133,4988099,5008140,4988104,4988105,4988226,5008146,4988117,5008153,4988122,5008159,4988125,5008177,4988142,5008180,4988145,5008200,4988148,5008206,4988155,5008214,4988161,5008229,4988170,5008237,4988176,5008298,4988179,5008306,4959704,4959705";"0";"0";"0";"-77";"-77";"c0d1a4f983b4d5cadcefb04642c67689";"1";"0";"1614775644";"2021-03-03 12:47:24";"2021-03-03 12:50:31";"0000-00-00 00:00:00";"45";"0";"187";"0";"0";"117";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"149";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"98";"0";"0";"31";"4959705";"-77";"159";"27";"5c00c9ec881e700001c2bb05";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"50";"5";"-77";"-77";"-77";"-77";"-77";"-77";"2";"21";"-99";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36";"-99";"0";"0";"-66";"0";"4959618,4988082,5008116,4988096,5008133,4988099,5008140,4988104,5008146,4988117,5008153,4988122,5008159,4988125,5008177,4988142,5008180,4988145,5008200,4988148,5008206,4988155,5008214,4988161,5008229,4988170,5008237,4988176,4988177,4988274,5008298,4988179,5008306,4959704,4959705";"0";"1";"0";"-77";"-77";"7880c1159f071b59b53a6dea6f5fa007";"1";"0";"1614775649";"2021-03-03 12:47:29";"2021-03-03 12:50:08";"0000-00-00 00:00:00";"22";"0";"159";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"103";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"139";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"99";"0";"0";"31";"4959705";"-77";"256";"27";"603e95cee8d8bdf9f681e848";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"20";"10";"-77";"-77";"-77";"-77";"-77";"-77";"2";"27";"No problem";"3";"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36";"-99";"0";"0";"-66";"0";"4959618,4988082,5008116,4988096,5008133,4988099,5008140,4988104,5008146,4988117,5008153,4988122,5008159,4988125,5008177,4988142,5008180,4988145,5008200,4988148,5008206,4988155,5008214,4988161,5008229,4988170,5008237,4988176,4988177,4988274,5008298,4988179,5008306,4959704,4959705";"1";"0";"0";"-77";"-77";"748762d840ae4500ee60ba806468c334";"1";"0";"1614775651";"2021-03-03 12:47:31";"2021-03-03 12:51:47";"0000-00-00 00:00:00";"49";"0";"256";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"167";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"200";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"100";"0";"0";"31";"4959705";"-77";"96";"12";"57850499eeaf6d00018d3da3";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"50";"80";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"36";"-99";"3";"Mozilla/5.0 (Windows NT 10.0; rv:78.0) Gecko/20100101 Firefox/78.0";"-99";"0";"0";"-66";"0";"4959618,4988082,5008116,4988096,5008133,4988099,5008140,4988104,5008146,4988117,5008153,4988122,5008159,5008161,5008160,4988125,5008177,4988142,5008180,4988145,5008200,4988148,5008206,4988155,5008214,4988161,5008229,4988170,5008237,4988176,5008298,4988179,5008306,4959704,4959705";"0";"1";"0";"-77";"-77";"e19347d2f953223233963cd197657794";"1";"0";"1614775653";"2021-03-03 12:47:33";"2021-03-03 12:49:09";"0000-00-00 00:00:00";"14";"0";"96";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"83";"61";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"101";"0";"0";"31";"4959705";"-77";"141";"5";"5d32d0de4e8363001535f3a2";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"80";"80";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"62";"no";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36";"-99";"0";"0";"-66";"0";"4959618,4988082,5008116,4988096,5008133,4988099,4988100,4988222,5008140,4988104,5008146,4988117,5008153,4988122,5008159,4988125,5008177,4988142,5008180,4988145,5008200,4988148,5008206,4988155,5008214,4988161,5008229,4988170,5008237,4988176,5008298,4988179,5008306,4959704,4959705";"1";"1";"0";"-77";"-77";"7e03361e748540684704f77a17dc2f37";"1";"0";"1614775654";"2021-03-03 12:47:34";"2021-03-03 12:49:55";"0000-00-00 00:00:00";"21";"0";"141";"0";"67";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"103";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"102";"0";"0";"31";"4959705";"-77";"217";"19";"5da95f7444c3570017c43d6e";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"50";"6";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"31";"no";"3";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15";"-99";"0";"0";"-66";"0";"4959618,4988082,5008116,4988096,5008133,4988099,5008140,4988104,5008146,4988117,5008153,4988122,5008159,4988125,5008177,4988142,5008180,4988145,5008200,4988148,4988149,4988257,5008206,4988155,5008214,4988161,5008229,4988170,5008237,4988176,5008298,4988179,5008306,4959704,4959705";"1";"1";"0";"-77";"-77";"77ce2c614c47a52a16df55b37f12b372";"1";"0";"1614775656";"2021-03-03 12:47:36";"2021-03-03 12:51:13";"0000-00-00 00:00:00";"57";"0";"217";"0";"0";"0";"0";"0";"0";"0";"0";"143";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"188";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"103";"0";"0";"20";"0";"-77";"0";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-77";"Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"0";"1";"0";"0";"-77";"-77";"d7de85cc5500bd4914462e9a07ec3f13";"1";"0";"1614775661";"2021-03-03 12:47:41";"2021-03-03 12:47:41";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"104";"0";"0";"31";"4959705";"-77";"90";"23";"5ecb9291c099b470f0cb5e18";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"24";"30";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"33";"-99";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36";"-99";"0";"0";"-66";"0";"4959618,4988082,5008116,4988096,5008133,4988099,5008140,4988104,5008146,4988117,5008153,4988122,5008159,4988125,5008177,4988142,5008180,4988145,5008200,4988148,5008206,4988155,5008214,4988161,4988162,4988270,5008229,4988170,5008237,4988176,5008298,4988179,5008306,4959704,4959705";"0";"1";"0";"-77";"-77";"bf9b7af398aeecc0bbccbe1c2e608819";"1";"0";"1614775670";"2021-03-03 12:47:50";"2021-03-03 12:49:20";"0000-00-00 00:00:00";"21";"0";"90";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"58";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"73";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
