sID	fifth	first	fourth	second	sixth	third	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)
2282	56	77	56	56	56	56	1	1	28	1	-99	172
2283	16	81	38	66	25	54	1	1	35	2	-99	37
2284	34	100	60	89	7	76	1	1	39	1	-99	321
2285	90	90	90	90	90	90	1	1	44	1	-99	188
2286	7	95	28	56	49	25	1	1	31	2	-99	59
2287	99	99	100	99	100	99	1	1	49	2	-99	135
2288	100	100	100	99	100	100	1	1	26	2	-99	75
2289	92	91	92	91	93	90	1	1	28	2	none	241
2290	99	66	67	74	99	18	1	1	32	2	-99	242
2291	75	75	74	75	74	78	1	1	39	1	-99	58
2292	68	17	59	33	90	47	1	1	27	2	n/a	76
2293	59	88	64	76	54	68	1	1	28	2	-99	147
2294	27	94	17	82	9	63	1	1	20	1	-99	105
2295	74	86	67	29	17	36	1	1	31	1	-99	99
2296	100	100	100	100	100	100	1	1	50	1	-99	110
2297	100	100	100	100	100	100	1	1	57	2	-99	146
2298	43	66	49	27	73	29	1	1	24	2	NA	87
2299	50	50	50	50	50	50	1	1	29	2	-99	177
2300	100	100	100	100	100	100	1	1	23	1	none	133
2301	100	100	99	100	99	98	1	1	32	1	-99	240
2303	88	54	87	72	94	80	1	1	35	1	-99	286
2304	55	62	28	56	72	35	1	1	29	1	-99	203
2305	15	78	33	39	23	33	1	1	43	1	-99	134
2306	99	100	99	99	99	100	1	1	26	1	n/a	181
2307	21	82	51	62	13	38	1	1	25	2	-99	120
2308	67	5	63	33	92	47	1	1	28	2	-99	99
2309	23	72	55	90	1	40	1	1	19	2	-99	149
2310	50	49	49	49	50	51	1	1	30	2	no errors that I could tell	160
2311	82	85	71	86	52	84	1	1	23	3	None that I noticed.	224
2312	57	99	51	89	42	50	1	1	32	1	-99	132
2314	33	70	40	58	25	50	1	1	25	1	-99	101
2315	89	37	77	49	100	57	1	1	27	1	none	222
2316	67	47	67	53	60	54	1	1	55	1	-99	93
2317	95	94	95	95	95	96	1	1	35	2	-99	97
2318	75	76	75	76	75	75	1	1	24	2	-99	154
2320	34	33	33	33	33	33	1	1	38	1	-99	93
2321	91	92	91	92	91	93	1	1	25	2	The fifth question read as  very weakly  and  very strongly  instead of weak and strong.	547
2322	99	99	99	99	99	99	1	1	24	2	-99	53
2323	31	84	37	66	11	49	1	1	35	2	-99	155
2324	16	87	21	44	4	28	1	1	32	2	-99	103
2325	42	95	53	77	49	70	1	1	20	1	-99	65
2326	48	64	54	47	65	35	1	1	27	1	-99	124
2327	67	66	68	66	67	67	1	1	28	1	-99	45
2328	23	93	46	60	11	50	1	1	72	2	-99	300
2329	99	100	99	99	100	100	1	1	23	2	-99	77
2330	48	94	44	83	72	83	1	1	25	1	-99	269
2331	17	98	46	74	9	55	1	1	19	2	-99	248
2332	64	65	66	65	66	64	1	1	33	2	-99	138
2333	88	89	90	90	90	89	1	1	64	2	-99	116
2335	83	84	83	82	82	83	1	1	24	1	-99	173
2336	76	77	78	78	77	77	1	1	41	1	all worked well.	197
2337	48	48	48	48	48	48	1	1	19	2	-99	158
2338	43	99	41	45	42	42	1	1	36	2	-99	274
2339	14	15	14	14	14	14	1	1	52	1	None	432
2340	72	100	84	93	66	75	1	1	31	2	-99	116
2341	68	67	67	68	66	69	1	1	27	2	-99	79
2342	55	55	55	55	55	54	1	1	50	1	-99	148
2343	91	25	99	41	77	52	1	1	29	1	everything went well	105
2344	57	13	73	41	46	37	1	1	18	2	-99	101
2346	21	89	45	74	10	63	1	1	51	2	-99	146
2347	79	79	79	77	78	77	1	1	29	1	-99	91
2348	88	88	90	87	88	91	1	1	37	1	-99	232
2349	100	100	100	100	100	100	1	1	27	2	-99	106
2350	71	73	74	74	74	71	1	1	27	2	I noticed that in the last question it said very weakly instead of very weak like the other questions. Unfourtnently I would not necessarily pick up on other spelling or layout errors as I am dyslexic.	363
2351	92	82	99	86	88	66	1	1	29	1	-99	107
2352	23	24	21	23	24	24	1	1	21	2	-99	63
2353	71	70	43	71	57	73	1	1	18	2	-99	107
2354	99	100	100	99	99	99	1	1	34	2	-99	89
2355	53	88	48	36	50	47	1	1	28	2	-99	86
2356	89	89	89	89	89	89	1	1	30	1	No error at all.	309
2357	99	99	99	99	99	99	1	1	65	2	-99	96
2359	72	9	56	22	88	41	1	1	27	2	-99	70
2360	27	84	39	74	17	60	1	1	23	2	-99	195
2361	100	100	100	100	100	100	1	1	42	2	The one thing I noticed in terms of spelling was an inconsistency in the wording. On the first question it said  very weakly  and  very strongly  whereas the other questions said,  very weak  and  very strong.  I hope this helps.	379
2362	85	87	87	87	87	87	1	1	24	2	None	254
2363	19	99	36	81	13	73	1	1	33	2	-99	132
2364	100	100	100	100	100	100	1	1	25	2	-99	55
2365	99	99	100	99	99	99	1	1	37	2	-99	109
2366	37	82	37	64	28	53	1	1	30	2	-99	155
2367	85	90	89	92	92	95	1	1	25	2	i didnt notice any error	382
2368	45	42	42	41	43	42	1	1	22	2	-99	114
2369	75	63	73	67	74	70	1	1	27	2	No errors	270
2370	27	29	28	27	28	29	1	1	54	1	-99	96
2371	100	100	100	100	100	100	1	1	19	2	-99	106
2372	73	6	47	23	90	31	1	1	19	2	none	128
2373	4	95	32	47	2	39	1	1	37	2	-99	126
2374	50	50	50	49	50	50	1	1	31	1	-99	161
2375	24	100	31	81	10	42	1	1	24	1	-99	98
2376	46	47	45	46	48	47	1	1	37	1	-99	122
2377	81	98	86	95	76	91	1	1	24	1	-99	110
2378	50	51	49	50	50	50	1	1	21	2	-99	89
2379	69	93	75	84	69	70	1	1	20	1	-99	103
2380	37	99	49	34	11	76	1	1	21	1	n a	135
2381	33	32	32	34	32	32	1	1	26	1	-99	95
2382	29	100	41	83	45	57	1	1	19	1	N/A	138
2383	99	100	99	99	99	99	1	1	20	2	-99	80
2384	76	79	79	78	79	76	1	1	28	1	-99	73
2385	49	49	48	49	48	49	1	1	36	1	-99	114
2386	38	89	55	81	26	73	1	1	31	2	-99	189
2387	14	64	32	36	7	25	1	1	36	2	-99	149
2388	76	71	67	70	66	67	1	1	27	2	There were no errors.	86
2389	82	9	69	27	95	48	1	1	30	2	-99	55
2390	97	98	98	98	97	97	1	1	41	2	-99	144
2391	22	20	21	22	21	22	1	1	48	2	-99	93
2392	100	100	100	100	100	100	1	1	28	2	-99	105
2393	61	75	33	49	21	37	1	1	20	2	-99	205
2394	29	100	43	77	20	62	1	1	20	2	-99	132
2395	100	99	100	100	99	99	1	1	25	2	-99	131
2396	96	95	95	96	95	98	1	1	27	1	-99	75
2397	89	89	88	88	89	90	1	1	43	2	-99	206
2398	84	7	63	27	99	46	1	1	64	2	-99	253
2399	68	100	75	87	57	79	1	1	26	3	-99	140
2400	94	94	94	91	93	94	1	1	63	1	-99	182
2401	35	37	31	31	36	32	1	1	52	2	no errors i can see	295
2402	95	94	95	94	94	95	1	1	30	2	-99	161
2403	80	80	80	80	79	80	1	1	33	1	-99	179
2404	34	100	46	78	19	62	1	1	29	2	No errors.	309
2405	46	50	46	41	45	46	1	1	25	2	-99	103
2406	69	5	59	17	100	46	1	1	33	2	-99	94
2407	96	82	95	88	100	93	1	1	35	2	-99	112
2408	99	100	99	99	99	100	1	1	37	1	-99	201
2409	100	100	100	100	100	100	1	1	30	2	-99	84
