sID	Condition	Cause_order	Query_order	multiple_strength_rating	no_conn_strength_rating	single_strength_rating	Desktop_Confirmation	Attention_Confirmation	Justification	Age	Sex	Technical_issues	Duration (sek)
390	36	0_1_3	0_1_3	99	0	100	1	1	A - The LED is not connected to the power source so there is  no way for the power to reach the LED  B&C - Power is connected to the LED	21	2	-99	157
391	1	3_1_0	3_1_0	100	0	100	1	1	As it was said if the switch would be turn from  off  to  on  it would cause that all the LED lights that are connected to the switch would light up. In the first question they asked me how likely it would be to light up a middle LED light if we would turn the A switch to  on  and since an  A  switch was connected to the middle LED light I choose that it would be probably easy to do. The same was second question but it was about an switch B. The B swittch was also connected to the middle light so I choose the same as in first question. And the last question was also the same but about the C switch. The C switch was not connected to the middle light so I choose that the light would probably not turn on.	20	1	-99	569
395	9	3_0_1	1_3_0	100	0	100	1	1	I believed the black line between the on/off switch and the LED represented a connection between the two. Since the on/off switch in 'B' didn't 'connect' to any of the LEDs I believe in all circumstances none of the LEDs will be turned on in the 'B' scenario.	31	1	n/a	214
396	21	1_0_3	1_3_0	100	0	100	1	1	For Box A, the chance of the middle LED turning on is high because the switch box is directly connected to it. For Box B, the chance is zero because there is no connection between the switch box and the LED. For Box C, the chance is very high because the switch box is connected to all LEDs, including the middle one. So the chance of the LED turning on is based on whether it is connected to the switch box.	21	1	n/a	148
397	4	3_1_0	1_0_3	29	0	96	1	1	"c  is not connected so theoretically cannot light the led:   b  is connected to the middle led so should light it when turned on;   a2 is connected to all three leds but depending on how the switch is wired, I would expect a 33% chance of it lighting"	71	1	It seems to me that this study is underpaying considering the time required to read the instructions and give a considered response	503
399	7	3_0_1	3_1_0	100	0	100	1	1	THe logic that I used was based on the question asked in relation to the middle LED. I assumed the question was about this particular LED taken in isolation to the other two.	56	1	None	634
400	6	3_1_0	0_1_3	100	0	100	1	1	switch c is not connected to the led so it would not turn on. switch b is connected so the led would turn on. switch c is connected to all of the LEDs so the middle one would turn on.	18	1	-99	260
401	35	0_1_3	0_3_1	100	0	100	1	1	"For switch A even if it is switched on it is not connected, hence unlikely to turn any LED on while B and is connected to one and this is the only one which can turn on since it is connected. A switch cn only turn an LED on if it is connected with it; series or parallel."	41	1	No errors encountered	448
402	28	0_3_1	1_0_3	100	0	100	1	1	In the description, it said that for A, the switch was not connected to the LEDs. So switching it on wouldn't have affected the middle LED. For B and C, there was a direct link between the switch and the middle LEDs, so switching it on WOULD have affected those LEDs. Maybe the light on B would've been a bit dimmer if it wasn't getting as much power as the one in C.	31	2	-99	191
403	14	1_3_0	3_0_1	69	0	99	1	1	Depending on whether the battery was connected to the bulb determined its likelihood	34	1	-99	438
