sID	Side	Q_order	Target_effect	multiple	single	Desktop_Confirmation	Attention_Confirmation	Justification	Age	Sex	Technical_issues	Duration (sek)
102	multiple_left	multiple_first	second	53	100	1	1	C1 effected 3 elements whereas c2 only directly effected one. Therefore my answers were roughly a third for the first one to represent the 3 and 100% for c2 which only directly effected one	33	2	-99	174
117	multiple_left	multiple_first	second	49	99	1	1	I said C1 influences E2 moderately, because its effect was shared with two other effects as well. On the other hand, C2 only influenced E2, so it has a strong causal influence.	22	2	-99	122
133	multiple_left	multiple_first	second	54	40	1	1	i dont know	38	2	-99	111
145	multiple_left	multiple_first	second	29	100	1	1	Because C1 influences three factors whilst C2 just the one	33	1	-99	98
157	multiple_left	multiple_first	second	58	58	1	1	The diagrams clearly show that C1 and C2 both have an effect on E2 which is why I moved my sliders to the right (more towards very strongly) however from the diagram alone I can't be certain exactly how much of an effect they are having on E2 only than there is an effect - which is why I didn't want to chose very strongly. While it's tempting to assume that because C1 affects multiple factors then the effects must be less strong and because there is only 1 link between C2 and E2 the effect must be stronger this may not be the case. The effects may be completely independent of one another which is why I tried to place the sliders at the same points for both causes.	29	3	No problems with the study noted.	482
167	multiple_left	multiple_first	second	84	86	1	1	I chose my answers because each letter and number that were mentioned were connected.	19	2	-99	179
179	multiple_left	multiple_first	second	39	99	1	1	C1 is influenced by 3 things, C2 has a 1:1 relationship	28	1	-99	75
205	multiple_left	multiple_first	second	73	99	1	1	It was just a direct line so the force is stronger where as the other diagram had three circles	58	2	-99	122
212	multiple_left	multiple_first	second	73	100	1	1	For me, one-to-one interaction is much stronger than too many interactions. Hence when I saw C1 being distributed to additional 2 nodes I immediately thought more effort.	30	1	-99	420
93	single_left	multiple_first	second	41	100	1	1	I felt that C1 was stronger due to it only being related to one other cause and C2 had a 1/3 relationship with the other two causes	53	2	-99	186
109	single_left	multiple_first	second	30	100	1	1	C1 directly causes E1, not the case with C2	24	2	no	109
125	single_left	multiple_first	second	66	78	1	1	For C1 - I am assuming that there are no other factors that would influence the effect E1.  In other words, E1 is only influenced/caused by C1.  I am not sure if this assumption is valid and hence the score I used.    For C2, I am assuming that if C2 can have effect E2/E3/E4, its strength on each individual E2 would be weaker.  Again, I am not sure if this assumption is valid and hence the score I used.	57	2	None	186
131	single_left	multiple_first	second	51	81	1	1	C1 would have more impact and all the time but not ALL of the impact while C2 can only have impact 1/3 of the time	25	1	-99	117
146	single_left	multiple_first	second	32	31	1	1	with out knowing the property's of each iteam, it is difficult to determining the rates of strenght	39	1	-99	204
163	single_left	multiple_first	second	83	53	1	1	in the second diagram, the effect was split between 3 different factors which minimized the strength whereas in the first one it was concentrated on one thing	21	2	-99	160
171	single_left	multiple_first	second	41	53	1	1	Honestly? The question was a bit hard for me to answer and I do not have an explanation on why I gave these ratings.	19	2	There were no problems at all. I really enjoyed taking part :)	146
181	single_left	multiple_first	second	88	36	1	1	I would assume that something that affects only one thing (C1 affecting E2), would have a stronger effect than that which influences 3 things at the same time due to it being more concentrated.	23	3	-99	201
200	single_left	multiple_first	second	100	100	1	1	They are directly linked forward rather than up or down even though e1 and e3 have equal direction.  This is because I have been taught top read left to right not left-up or left-down.	43	3	-99	203
203	single_left	multiple_first	second	50	50	1	1	For C1, it seemed like it had a direct cause to E2. For C2, however, I disregarded the other two causes and focused primarily on C2 effecting E2 because the former was in the middle section and it lined up with C1.	25	2	Had trouble using the bar.	311
99	multiple_left	single_first	second	25	100	1	1	Because C2 is only influencing E2, and on the other han C1 causes E2 and two more effects.	18	2	-99	287
114	multiple_left	single_first	second	64	100	1	1	The C2 diagram only had one outcome, so it very causally provoked its singular response. The C1 diagram had 3 outcomes, so there seems to be a 1/3 chance that the E2 would be chosen.	19	2	-99	119
124	multiple_left	single_first	second	70	84	1	1	Since C² has a direct effect on E² I think it has a more powerful effect than C¹ and since C¹ has to share it among three if it's kind	35	1	The study was glitch free thanks	228
136	multiple_left	single_first	second	99	12	1	1	Just because the one is strongly/directly affected does not mean that they are ALL strongly affected.	32	2	-99	248
144	multiple_left	single_first	second	27	99	1	1	1:1 is the strongest influence     1:3 there are others able to influence other decisions	24	2	-99	190
165	multiple_left	single_first	second	35	99	1	1	I thought maybe since C1 had many effects, it wasn't as strong (likely) but C2 all of the cause went to this effect, making it stronger, more likely.	26	2	-99	142
169	multiple_left	single_first	second	31	100	1	1	C2 uses all it's power to produce E2.    C1 divides it's strength by 3	38	2	-99	121
198	multiple_left	single_first	second	47	42	1	1	Since c1 has the ability to effect 3 at the same time I made the assumption that c1 is more stronger than c2 therefore due to its strength, the impact is big. This is why I chose c1 to have a bigger effect than c2.	19	2	-99	210
204	multiple_left	single_first	second	33	100	1	1	Because C2 is only influencing E2, it seems like it's more direct and therefore a stronger influence.  Since C1 is influencing several different outcomes, I assumed the influence wasn't quite as strong.	27	2	-99	205
215	multiple_left	single_first	second	100	100	1	1	I rated both as extremely high because there was a direct link between C1 and its causal variable, as well as between C2 and its causal variable. A variable can affect multiple different variables with the same level of intensity depending on what the variable is.	21	2	nothing!	275
92	single_left	single_first	second	99	99	1	1	C1 and C2 are the same that they are the only influencers.  But c1 is only influencing one outcome, C2 is influencing 3.	28	2	-99	162
123	single_left	single_first	second	64	68	1	1	The diagram cited earleir depict	35	1	none	199
128	single_left	single_first	second	37	99	1	1	C1 doesn't have to influence any other cause, whereas C2 has to influence more than one. C1 will have more time to influence than C2.	33	2	On the very first page (the introduction?), the word  understanding  is misspelled. I also believe  labeled  is misspelled. No other errors.	267
148	single_left	single_first	second	34	100	1	1	mathmatical analysis of this. The first diagram had 100% effect and the second one had 33.33%	31	1	none	78
153	single_left	single_first	second	33	86	1	1	As C1 only has a casual effect on one other I put it as strongly but C2 effects 3 others so I decided to move the curses a third of the way along.	41	1	-99	233
170	single_left	single_first	second	31	100	1	1	c1 gives all to e2  while c2 gives 1 third to e2	38	1	-99	139
184	single_left	single_first	second	31	100	1	1	C2 affects three nodes whereas C1 has a direct relationship with only one - therefore the strength of C1 to E1 will be much greater than a shared strength among three nodes.	47	1	-99	119
193	single_left	single_first	second	64	99	1	1	C1 is only causing one effect whereas C2 is causing three therefore C1 is more strongly affecting the effect than C2	42	2	-99	159
201	single_left	single_first	second	64	100	1	1	I believe that C1 affects E2 strongly because they have a direct link and also E2 is the only one that is being affected by C1. While on the other hand, C2's affects are divided between E1, E2 and E3.	26	2	-99	370
222	single_left	single_first	second	99	99	1	1	Both of them are related strongly. Even though C2 effects more E's, it still has the same individual effect on each one.	20	2	-99	314
100	multiple_left	multiple_first	third	27	99	1	1	c 1 was effecting 3 things so it made sense to make its influence around about a third of the one which was only effecting one thing	38	1	-99	177
107	multiple_left	multiple_first	third	40	86	1	1	There was only 1 bond between C2 and E3. Generally speaking 1 bond is stronger than multiple.. Think about having multiple friends, it's much harder to maintain 3 deep friendships than 1	21	1	-99	117
122	multiple_left	multiple_first	third	62	100	1	1	The first diagram linked off into three different sections, I thought each section took one third whereas the second diagram linked directly to the next section	31	2	-99	143
137	multiple_left	multiple_first	third	91	90	1	1	both have a strong effect, i see no difference in the strength of the affectedness	24	2	none	79
151	multiple_left	multiple_first	third	53	96	1	1	C1 has 3 causes of influence to deal with whereas c2 only has one influence to deal with so more focus will be on that.	45	2	no errors	217
161	multiple_left	multiple_first	third	54	30	1	1	i just went by how long the line was,as i thought the long the line the greater the influence.	32	2	-99	259
190	multiple_left	multiple_first	third	28	100	1	1	for C1 it has 3 directions meaning a third for each where as with C2 its 100% causes the effect with nothing else happening.	35	1	-99	376
191	multiple_left	multiple_first	third	14	88	1	1	I feel that C1 does not directly impact C2 so it has a weak influence. C3 directly impacts E3 so there is a very strong relationship because there is only one relationship connecting them.	18	2	-99	150
199	multiple_left	multiple_first	third	99	99	1	1	I thought C1 and C2 had the same direct relationship with E3. The other causes in C1 had no direct effect with E3.	46	1	-99	464
219	multiple_left	multiple_first	third	37	44	1	1	To be honest i dont really know	59	2	none	134
104	single_left	multiple_first	third	51	38	1	1	thats what i thought on first impression due to the pull of c1	32	2	-99	49
112	single_left	multiple_first	third	65	88	1	1	C1 had only one link to E3 so in my mind i thought that this meant it was stronger. A single concentrated connection.	26	2	-99	141
121	single_left	multiple_first	third	100	100	1	1	I gave these rating because both C1 and C2 directly effect E3. There was no middle man between them or anything, there was a direct link between both C1 and C2 to E3. So the effect strength seems strong.	27	1	none	119
126	single_left	multiple_first	third	100	31	1	1	In the first diagram, C1 could only act upon one thing. The 'thing' has all of C1s effect.  In the secong pic C2 acted on three things. The effect was split into 3	52	1	-99	209
140	single_left	multiple_first	third	100	100	1	1	Because the influence either exists or it doesn't. There was nothing in the instructions to indicate how strong the influence is - just that there was one. I saw it as being binary. Either on or off which means there is no measure of strength	44	2	none	249
156	single_left	multiple_first	third	46	100	1	1	Since C1 only influences one other entity, I believe the influence would be quite strong. C2, however, influences three other entities so I believe there would be less chance of strong influence.	59	2	None.	240
174	single_left	multiple_first	third	100	100	1	1	I gave these ratings because you could clearly see on the diagram which cause was connected to another.	31	1	-99	162
195	single_left	multiple_first	third	17	95	1	1	C2 could only influence E3 weakly because it is influencing 2 other factors at a goal. That is, the influence is shared between 3 factors. On the other hand, C1 is only influencing just a factor which is E3, therefore, the force is very strong.	36	1	-99	459
202	single_left	multiple_first	third	92	92	1	1	Both demonstrate a direct effect, with no other causes affecting the result, The fact C2 also affects other results is not relevant	35	1	-99	156
220	single_left	multiple_first	third	94	99	1	1	They are the powerful influence directly influencing the below factors.	27	2	None	86
98	multiple_left	single_first	third	29	99	1	1	there was only one linked to C2, whereas there was three linked to C1	21	1	-99	89
108	multiple_left	single_first	third	34	83	1	1	C1 could lead to three different causal effects, while C2 only lead to one.	51	1	-99	275
120	multiple_left	single_first	third	91	100	1	1	It might not make sense, but because C2 only caused one reaction (E3), I intuitively felt that the relationship was stronger. Because C1 caused three reactions, it 'felt like' those might be individually less strongly corrolated.	38	2	none	155
129	multiple_left	single_first	third	31	72	1	1	C2 is only affecting E3 only, so I would assume that it would affect it very strongly. While compared to C1 which is affecting three Es, which seems equally. I would assume that the effect on E3 would be weak because E2 and E1 are also affected.	21	2	-99	415
142	multiple_left	single_first	third	31	100	1	1	C2's only effect was E3 while C1 had multiple effects	20	1	-99	97
155	multiple_left	single_first	third	33	100	1	1	The second one is very strongly because it is the only cause influencing that outcome. On the first example there are two other causes so the influence is spread three ways.	35	1	-99	143
166	multiple_left	single_first	third	98	98	1	1	I gave both C1 and C2 the same rating as, given the info provided in the graphic, i cannot be sure of any other factors influencing E3 therefore, they will have the same strength of effect.	22	2	-99	332
175	multiple_left	single_first	third	89	46	1	1	I feel like the longer the arrow, the more strong the influence would be.	18	2	-99	291
196	multiple_left	single_first	third	44	100	1	1	c2 was straight ahead e3, and there were less effects(E) on C2. C1 had more effects(E) so it had to share with the other effects.	19	1	no errors. everything went well.	753
213	multiple_left	single_first	third	33	99	1	1	In C2 it can only have one outcome so the it has a higher effect. In C1 there are three options of outcomes so the strength of the effect is lowered to 1/3.	27	2	-99	180
96	single_left	single_first	third	94	93	1	1	C1 and C2 both cause effects similarly in strength even though C2 causes multiple effects.	54	1	-99	218
105	single_left	single_first	third	66	92	1	1	I marked the relationship in the second image as weaker because there are 3 different bubbles that C2 has to be split up into, as opposed to the first image with C1.	29	2	-99	115
113	single_left	single_first	third	41	98	1	1	As C1 only directly influenced E3 and no other strands I would take that to mean that it strongly influenced as there were no other strands to dilute. In the second picture, it was split 3 ways so I would expect that influence to be less.	46	2	-99	175
135	single_left	single_first	third	33	100	1	1	c1 to e1 is a 1 to 1 relationship therefore it has a stronger effect whereas in the second diagram the relationship is 1 to 3 therefore, the severity of the effect is divided into 3.	19	1	-99	150
147	single_left	single_first	third	31	100	1	1	I thought that C1 would have a very large effect on E3 because it was the only casual link.   I thought that C2 would have a much smaller effect on E3 because it was also linked to 2 other effects.	18	2	no errors	247
150	single_left	single_first	third	44	42	1	1	I gave roughly equal ratings as I believe there is the good chance that c1 and c2 had the same effect. There is no particular reason, simply intuition.	31	1	-99	329
180	single_left	single_first	third	100	100	1	1	The only force active on the E's is the C's so they are in relative terms acting strongly because there is nothing else to compare the E's to.	30	1	-99	147
197	single_left	single_first	third	100	100	1	1	Because they both have E3 rating	24	2	none	87
210	single_left	single_first	third	99	100	1	1	I gave both C1 and C2 a strong influence because they were the sole influencers in both given examples. Although C2 was influencing 3 effects, it was the sole influencer. I don't believe the strength of C1 and C2's influence would be different even though each example had a different numbers of effects.	26	2	I did not experience any issues with this survey and it worked well on my browser (Mozilla Firefox).	216
221	single_left	single_first	third	34	100	1	1	There is no enough information for my assumption but I assumed the level of C1 and C2 to be the same. In that sense, C1 is just strongly causimng one effect E1. On the other hand, the influence of C2 is distributed across three effects E1,E2,E3. My second assumption is that, these effects are on the same level and the influence  of C2 is just one-third on each of them.	32	1	no	520
